DfE number,Establishment,Phase,Status,Head title,Head name,Address 1,Address 2,Address 3,Address 4,Postcode,School ward,Telephone,Website,Nursery,Number of pupils on roll,Census date,Eastings,Northings,Latitude,Longitude,Cluster,Trust name,Sponsor name,Federation name,UPRN
5400,The North Halifax Grammar School,Secondary,Academy converter,Principal,Mr A Fisher,Moorbottom Road,Illingworth,"",Halifax,HX2 9SU,Illingworth and Mixenden,014222 244625,http://www.nhgs.co.uk,No,1255,2022-01-20 00:00:00,407825,428815,53.75566,-1.88280,Secondary,THE NORTH HALIFAX GRAMMAR SCHOOL ACADEMY TRUST,"","",100000000000
1101,The Whitley AP Academy,Alternative provision,Academy alternative provision converter,Headteacher,Mr Phillip Hannah,Whitley Phoenix Centre,"",Moorbottom Road,Halifax,HX2 9SR,Illingworth and Mixenden,014222 244181,twapa.co.uk,No,58,2022-01-20 00:00:00,407940,428950,53.75685,-1.88105,Secondary,IMPACT EDUCATION MULTI ACADEMY TRUST,Impact Education Multi Academy Trust,"",10095601956
3326,"Todmorden CofE J, I & N School",Primary,Voluntary aided school,Headteacher,Mrs Alice Leadbitter,Burnley Road,"","",Todmorden,OL14 7BS,Todmorden,017068 812019,http://www.todmordenprimary.org.uk,Yes,251,2022-01-20 00:00:00,393502,424499,53.71688,-2.09994,Todmorden,"","","",10010152791
4026,Todmorden High School,Secondary,Community school,Acting Headteacher,Ms Gill Shirt,Ewood Lane,"","",Todmorden,OL14 7DG,Todmorden,017068 813558,http://www.todhigh.co.uk/,No,890,2022-01-20 00:00:00,392824,424888,53.72087,-2.11027,Secondary,"","","",10006749984
3013,Triangle CofE VC Primary School,Primary,Voluntary controlled school,Headteacher,Mr Gavin Davies,Butterworth Lane,Triangle,"",Sowerby Bridge,HX6 3NJ,Ryburn,014228 831558,http://www.triangleprimary.org.uk,No,198,2022-01-20 00:00:00,404309,422248,53.69667,-1.93622,Sowerby Bridge,"","","",10033879746
2001,Trinity Academy Akroydon,Primary,Academy converter,Executive Principal,Mr Oliver Grant-Roberts,Rawson Street North,Boothtown,"",Halifax,HX3 6PU,Town,014223 351291,https://akroydon.trinitymat.org/,Yes,328,2022-01-20 00:00:00,408888,408888,53.73541,-1.86675,North Halifax,TRINITY MULTI ACADEMY TRUST,Trinity Multi Academy Trust,"",100000000000
4007,Trinity Academy Grammar,Secondary,Academy sponsor led,"",Mr Charlie Johnson,Albert Road,"","",Sowerby Bridge,HX6 2NW,Sowerby Bridge,014228 831011,https://sowerby.trinitymat.org/,No,885,2022-01-20 00:00:00,406128,424207,53.71426,-1.90863,Secondary,TRINITY MULTI ACADEMY TRUST,Trinity Multi Academy Trust,"",100000000000
6905,Trinity Academy Halifax,Secondary,Academy sponsor led,Principal,Mrs Sarah Case,Shay Lane,"","",Halifax,HX2 9TZ,Illingworth and Mixenden,014222 244890,https://halifax.trinitymat.org,No,1584,2022-01-20 00:00:00,408282,428628,53.75397,-1.87588,Secondary,TRINITY MULTI ACADEMY TRUST,Trinity Multi Academy Trust,"",10090365804
2026,Trinity Academy St Chad's,Primary,Academy sponsor led,"",Ms Rachel Dawson,Upper Green Lane,Hove Edge,"",Brighouse,HD6 2PA,Brighouse,014847 712361,https://stchads.trinitymat.org/,No,171,2022-01-20 00:00:00,413270,424304,53.71500,-1.80042,East Calderdale,TRINITY MULTI ACADEMY TRUST,Trinity Multi Academy Trust,"",100000000000
2035,Trinity Academy St Peter's,Primary,Academy sponsor led,"",Mr Mathew Brown,St Peter's Avenue,Sowerby,"",Sowerby Bridge,HX6 1HB,Ryburn,014228 831971,https://stpeters.trinitymat.org/,Yes,112,2022-01-20 00:00:00,404318,423064,53.70401,-1.93607,Sowerby Bridge,TRINITY MULTI ACADEMY TRUST,Trinity Multi Academy Trust,"",10006748428
