AtcoCode,CommonName,StopType,ShortCommonName,Street,Longitude,Latitude,ModifiedDate,CreatedDate,LocalityName,Easting,Northing
700000010640,Killure Rd End,BusCoachTramOnStreetPoint,,,-6.6828719346,55.0867522627,09/07/2020,09/07/2020,Coleraine,284158,427400
700000010641,Blackburn,BusCoachTramOnStreetPoint,,,-6.6879787703,55.1001023862,09/07/2020,09/07/2020,Coleraine,283804,428880
700000010642,The Bushtown,BusCoachTramOnStreetPoint,,,-6.6913550932,55.1032109235,09/07/2020,09/07/2020,Coleraine,283582,429222
700000010643,Camerons Corner,BusCoachTramOnStreetPoint,,,-6.6934812057,55.1071952861,09/07/2020,09/07/2020,Coleraine,283438,429663
700000010644,Ballymoney Railway Station,BusCoachTramOnStreetPoint,,,-6.5142585771,55.0669146849,09/07/2020,09/07/2020,Coleraine,294971,425407
700000010645,Chestnutts Mill,BusCoachTramOnStreetPoint,,,-6.418197794,55.1118183846,09/07/2020,09/07/2020,Coleraine,300994,430540
700000010646,Stranocum,BusCoachTramOnStreetPoint,,,-6.420845498,55.1069513642,09/07/2020,09/07/2020,Coleraine,300838,429995
700000010647,Leitrim Rd,BusCoachTramOnStreetPoint,,,-6.4135734626,55.1028732446,09/07/2020,09/07/2020,Coleraine,301312,429551
700000010648,Walkers Cross,BusCoachTramOnStreetPoint,,,-6.4045547672,55.0993357051,09/07/2020,09/07/2020,Coleraine,301897,429171
700000010649,Holmes House Metal Bridge,BusCoachTramOnStreetPoint,,,-6.3950355197,55.1046618297,09/07/2020,09/07/2020,Coleraine,302491,429778
700000010650,The Pond,BusCoachTramOnStreetPoint,,,-6.388067095,55.1096185426,09/07/2020,09/07/2020,Coleraine,302923,430340
700000010651,Kingarrif Junction,BusCoachTramOnStreetPoint,,,-6.381555709,55.1129189889,09/07/2020,09/07/2020,Coleraine,303330,430717
700000010652,Clintyfinnan Rd,BusCoachTramOnStreetPoint,,,-6.3685205691,55.1197432766,09/07/2020,09/07/2020,Coleraine,304144,431496
700000010653,Clintyfinnan,BusCoachTramOnStreetPoint,,,-6.3625686149,55.1226998576,09/07/2020,09/07/2020,Coleraine,304516,431834
700000010654,Retteries,BusCoachTramOnStreetPoint,,,-6.3465151998,55.1265256412,09/07/2020,09/07/2020,Coleraine,305530,432284
